chn_1,chn_2,chn_3,chn_4,marker
-10.2673769660071,-5206.60479446314,-13049.1954808651,-9940.70933635199,0
-9.26737696600711,-5586.27195816487,-13326.3931256809,-10269.369874508,0
-9.26737696600711,-5436.28327044193,-13169.6408288881,-10634.2569535849,0
-8.26737696600711,-5312.6608774066,-12837.8443846192,-11022.92231658,0
-8.26737696600711,-5144.49814584898,-13157.3683471835,-10960.2715125223,0
-7.26737696600711,-5608.20086155506,-12726.6758584363,-10927.2706353133,0
-7.26737696600711,-5687.97105765995,-12328.2231772572,-10625.8552683344,0
-6.26737696600711,-5525.74541728199,-12720.1740423634,-11101.8865642444,0
-6.26737696600711,-5767.1447397219,-12714.293049683,-11330.4412002865,0
-5.26737696600711,-6135.62773260614,-12306.1558975686,-11032.0027936724,0
-5.26737696600711,-6175.07432738878,-12134.9881563966,-10928.7385460459,0
-4.26737696600711,-6561.05818211567,-12229.1887564805,-11256.3631319142,0
-4.26737696600711,-6418.2538422076,-12212.7014075259,-11604.8544895853,0
-3.26737696600711,-6297.29425794072,-11964.1925352702,-12003.8569360579,0
-3.26737696600711,-6120.35772108706,-12087.9888336534,-11960.8406067676,0
-2.26737696600711,-6591.89926710026,-11725.093251303,-11896.2039158334,0
-2.26737696600711,-6666.60563866515,-11454.9864568032,-11592.3763133831,0
-1.26737696600711,-6501.40677782241,-11732.3019084676,-11113.0782148618,0
-1.26737696600711,-6749.63141768146,-11616.0714276947,-11329.0742668527,0
-0.267376966007106,-7119.8871231447,-11386.129288769,-11027.8571145715,0
-0.267376966007106,-7160.60154401232,-11220.5938369303,-10926.7545291194,0
0.732623033992894,-7540.22008901462,-11118.578715889,-11255.9947517686,0
0.732623033992894,-7401.38378295954,-11253.9705740848,-11601.0678408802,0
1.73262303399289,-7279.7547566006,-11088.4987005453,-12002.3965051253,0
1.73262303399289,-7092.42129787011,-11012.313198548,-11977.6682866182,0
2.73262303399289,-7570.96767650032,-10716.6946765005,-11892.357428729,0
2.73262303399289,-7647.1176494481,-10577.9668275441,-11584.0382064319,0
3.73262303399289,-7476.74650696665,-10751.1073659427,-11131.128841998,0
3.73262303399289,-7726.66158160567,-10522.2871970038,-11319.9694804106,0
4.73262303399289,-8104.74115777621,-10457.1287900258,-11017.7500349413,0
4.73262303399289,-8136.27038435265,-10318.9881053625,-10944.7827168558,0
5.73262303399289,-8516.30405825004,-10017.535339384,-11261.9842015476,0
5.73262303399289,-8385.30658250209,-10293.1098676191,-11592.8643703274,0
6.73262303399289,-8265.11367772613,-10205.3493752588,-12002.1926805777,0
6.73262303399289,-8062.02402048232,-9943.60499705997,-11985.1499564796,0
